FlightDate,Reporting_Airline,Flight_Number_Reporting_Airline,Origin,Dest,CRSDepTime,CRSArrTime,CRSElapsedTime,DepDelay,ArrDelay,Cancelled,Diverted
2025-01-02,DL,687,ATL,LAX,1240,1434,294.00,12.00,10.00,0.00,0.00
2025-01-02,DL,350,ATL,BOS,1244,1517,153.00,-5.00,-23.00,0.00,0.00
2025-01-02,DL,1477,ATL,ORD,1250,1352,122.00,-3.00,-5.00,0.00,0.00
2025-01-02,DL,396,ATL,DEN,1355,1515,200.00,-2.00,6.00,0.00,0.00
2025-01-02,DL,481,ATL,SEA,1430,1713,343.00,-2.00,10.00,0.00,0.00
2025-01-02,DL,753,ATL,LAX,1445,1649,304.00,-6.00,-17.00,0.00,0.00
2025-01-02,DL,726,ATL,BOS,1450,1725,155.00,5.00,-6.00,0.00,0.00
2025-01-02,DL,2738,ATL,ORD,1510,1612,122.00,-7.00,-14.00,0.00,0.00
2025-01-02,DL,519,ATL,DEN,1550,1712,202.00,1.00,10.00,0.00,0.00
2025-01-02,DL,301,ATL,LAX,1550,1745,295.00,-6.00,-3.00,0.00,0.00
2025-01-02,DL,821,ATL,BOS,1652,1928,156.00,0.00,-14.00,0.00,0.00
2025-01-02,DL,502,ATL,LAX,1655,1850,295.00,-6.00,18.00,0.00,0.00
2025-01-02,DL,2879,ATL,ORD,1740,1848,128.00,2.00,-2.00,0.00,0.00
2025-01-02,DL,675,ATL,SEA,1801,2050,349.00,-7.00,13.00,0.00,0.00
2025-01-02,DL,300,ATL,BOS,1811,2048,157.00,-1.00,-14.00,0.00,0.00
2025-01-02,DL,746,ATL,DEN,1812,1938,206.00,26.00,34.00,0.00,0.00
2025-01-02,DL,500,ATL,LAX,1815,2014,299.00,18.00,4.00,0.00,0.00
2025-01-02,DL,319,ATL,LAX,1930,2143,313.00,-3.00,-17.00,0.00,0.00
2025-01-02,DL,1139,ATL,ORD,2020,2120,120.00,-1.00,0.00,0.00,0.00
2025-01-02,DL,493,ATL,DEN,2021,2145,204.00,-5.00,-1.00,0.00,0.00
2025-01-02,DL,971,ATL,BOS,2050,2323,153.00,-1.00,-13.00,0.00,0.00
2025-01-02,DL,903,ATL,SEA,2135,0024,349.00,28.00,45.00,0.00,0.00
2025-01-02,DL,865,ATL,BOS,2225,0057,152.00,78.00,55.00,0.00,0.00
2025-01-02,DL,575,ATL,LAX,2225,0033,308.00,3.00,2.00,0.00,0.00
2025-01-02,DL,956,ATL,DEN,2246,0011,205.00,-7.00,10.00,0.00,0.00
2025-01-02,DL,1199,ATL,ORD,2250,2353,123.00,15.00,2.00,0.00,0.00
2025-01-02,DL,695,BOS,ATL,0540,0850,190.00,-1.00,-9.00,0.00,0.00
2025-01-02,DL,923,BOS,ATL,0655,0957,182.00,-1.00,12.00,0.00,0.00
2025-01-02,DL,456,BOS,ATL,0834,1140,186.00,-3.00,-5.00,0.00,0.00
2025-01-02,DL,973,BOS,ATL,1016,1320,184.00,-3.00,-14.00,0.00,0.00
2025-01-02,DL,376,BOS,ATL,1208,1510,182.00,25.00,9.00,0.00,0.00
2025-01-02,DL,322,BOS,ATL,1400,1702,182.00,29.00,13.00,0.00,0.00
2025-01-02,DL,963,BOS,ATL,1630,1937,187.00,47.00,33.00,0.00,0.00
2025-01-02,DL,638,BOS,ATL,1735,2047,192.00,-1.00,-15.00,0.00,0.00
2025-01-02,DL,385,BOS,ATL,1835,2145,190.00,7.00,-12.00,0.00,0.00
2025-01-02,DL,900,BOS,ATL,2038,2341,183.00,-8.00,-17.00,0.00,0.00
2025-01-02,DL,341,DEN,ATL,0600,1056,176.00,1.00,-23.00,0.00,0.00
2025-01-02,DL,431,DEN,ATL,0705,1159,174.00,1.00,-16.00,0.00,0.00
2025-01-02,DL,957,DEN,ATL,0805,1305,180.00,-5.00,-33.00,0.00,0.00
2025-01-02,DL,2781,DEN,ATL,1051,1542,171.00,-1.00,-10.00,0.00,0.00
2025-01-02,DL,995,DEN,ATL,1247,1738,171.00,19.00,-3.00,0.00,0.00
2025-01-02,DL,706,DEN,ATL,1418,1916,178.00,-2.00,-29.00,0.00,0.00
2025-01-02,DL,396,DEN,ATL,1620,2114,174.00,-1.00,-20.00,0.00,0.00
2025-01-02,DL,519,DEN,ATL,1820,2313,173.00,9.00,-9.00,0.00,0.00
2025-01-02,DL,390,LAX,ATL,0620,1328,248.00,-3.00,-7.00,0.00,0.00
2025-01-02,DL,782,LAX,ATL,0725,1432,247.00,-7.00,-10.00,0.00,0.00
2025-01-02,DL,515,LAX,ATL,0825,1534,249.00,0.00,-12.00,0.00,0.00
2025-01-02,DL,327,LAX,ATL,0930,1649,259.00,-2.00,-15.00,0.00,0.00
2025-01-02,DL,528,LAX,ATL,1050,1814,264.00,-7.00,-32.00,0.00,0.00
2025-01-02,DL,395,LAX,ATL,1215,1927,252.00,66.00,63.00,0.00,0.00
2025-01-02,DL,715,LAX,ATL,1415,2124,249.00,7.00,-3.00,0.00,0.00
2025-01-02,DL,471,LAX,ATL,1615,2331,256.00,-1.00,-18.00,0.00,0.00
2025-01-02,DL,783,LAX,ATL,2159,0516,257.00,6.00,6.00,0.00,0.00
2025-01-02,DL,899,LAX,ATL,2259,0612,253.00,19.00,31.00,0.00,0.00
2025-01-02,DL,320,LAX,ATL,2359,0721,262.00,6.00,1.00,0.00,0.00
2025-01-02,DL,1264,ORD,ATL,0545,0850,125.00,3.00,-16.00,0.00,0.00
2025-01-02,DL,1247,ORD,ATL,0705,1010,125.00,0.00,-14.00,0.00,0.00
2025-01-02,DL,1178,ORD,ATL,1000,1310,130.00,28.00,2.00,0.00,0.00
2025-01-02,DL,1147,ORD,ATL,1240,1539,119.00,-7.00,-31.00,0.00,0.00
2025-01-02,DL,1477,ORD,ATL,1455,1753,118.00,-9.00,-25.00,0.00,0.00
2025-01-02,DL,2738,ORD,ATL,1725,2026,121.00,-3.00,-9.00,0.00,0.00
2025-01-02,DL,2879,ORD,ATL,1959,2305,126.00,-18.00,-19.00,0.00,0.00
2025-01-02,DL,569,SEA,ATL,0615,1402,287.00,5.00,-30.00,0.00,0.00
2025-01-02,DL,562,SEA,ATL,0820,1616,296.00,7.00,-36.00,0.00,0.00
2025-01-02,DL,554,SEA,ATL,1015,1813,298.00,-5.00,-43.00,0.00,0.00
2025-01-02,DL,542,SEA,ATL,1155,1950,295.00,22.00,-19.00,0.00,0.00
2025-01-02,DL,552,SEA,ATL,1545,2332,287.00,38.00,-2.00,0.00,0.00
2025-01-02,DL,567,SEA,ATL,2245,0630,285.00,-1.00,-36.00,0.00,0.00
2025-01-03,DL,987,ATL,BOS,0705,0946,161.00,11.00,-5.00,0.00,0.00
2025-01-03,DL,996,ATL,LAX,0725,0940,315.00,-1.00,-18.00,0.00,0.00
2025-01-03,DL,1178,ATL,ORD,0730,0840,130.00,-7.00,-14.00,0.00,0.00
2025-01-03,DL,444,ATL,SEA,0750,1045,355.00,-4.00,-7.00,0.00,0.00
2025-01-03,DL,346,ATL,DEN,0800,0927,207.00,-6.00,-5.00,0.00,0.00
2025-01-03,DL,849,ATL,BOS,0821,1058,157.00,3.00,-10.00,0.00,0.00
2025-01-03,DL,898,ATL,LAX,0855,1050,295.00,0.00,-7.00,0.00,0.00
2025-01-03,DL,774,ATL,SEA,0940,1230,350.00,5.00,0.00,0.00,0.00
2025-01-03,DL,855,ATL,BOS,1000,1229,149.00,-2.00,6.00,0.00,0.00
2025-01-03,DL,995,ATL,DEN,1010,1142,212.00,11.00,-2.00,0.00,0.00
2025-01-03,DL,501,ATL,LAX,1015,1229,314.00,0.00,-10.00,0.00,0.00
2025-01-03,DL,1147,ATL,ORD,1019,1126,127.00,-5.00,-1.00,0.00,0.00
2025-01-03,DL,895,ATL,LAX,1129,1340,311.00,-6.00,-26.00,0.00,0.00
2025-01-03,DL,862,ATL,BOS,1130,1404,154.00,3.00,-12.00,0.00,0.00
2025-01-03,DL,629,ATL,SEA,1149,1436,347.00,1.00,3.00,0.00,0.00
2025-01-03,DL,706,ATL,DEN,1151,1313,202.00,-8.00,-1.00,0.00,0.00
2025-01-03,DL,687,ATL,LAX,1240,1434,294.00,2.00,-1.00,0.00,0.00
2025-01-03,DL,350,ATL,BOS,1244,1517,153.00,-5.00,-20.00,0.00,0.00
2025-01-03,DL,1477,ATL,ORD,1250,1352,122.00,0.00,12.00,0.00,0.00
2025-01-03,DL,396,ATL,DEN,1355,1515,200.00,-5.00,-12.00,0.00,0.00
2025-01-03,DL,481,ATL,SEA,1430,1713,343.00,-4.00,-5.00,0.00,0.00
2025-01-03,DL,753,ATL,LAX,1445,1649,304.00,-6.00,-26.00,0.00,0.00
2025-01-03,DL,726,ATL,BOS,1450,1725,155.00,-3.00,-14.00,0.00,0.00
2025-01-03,DL,2738,ATL,ORD,1510,1612,122.00,-4.00,3.00,0.00,0.00
2025-01-03,DL,519,ATL,DEN,1550,1712,202.00,-2.00,-2.00,0.00,0.00
2025-01-03,DL,301,ATL,LAX,1550,1745,295.00,-3.00,1.00,0.00,0.00
2025-01-03,DL,821,ATL,BOS,1652,1928,156.00,0.00,-10.00,0.00,0.00
2025-01-03,DL,502,ATL,LAX,1655,1850,295.00,63.00,67.00,0.00,0.00
2025-01-03,DL,2879,ATL,ORD,1740,1848,128.00,-7.00,7.00,0.00,0.00
2025-01-03,DL,675,ATL,SEA,1801,2050,349.00,-5.00,-17.00,0.00,0.00
2025-01-03,DL,300,ATL,BOS,1811,2048,157.00,88.00,76.00,0.00,0.00
2025-01-03,DL,746,ATL,DEN,1812,1938,206.00,23.00,15.00,0.00,0.00
2025-01-03,DL,500,ATL,LAX,1815,2014,299.00,27.00,17.00,0.00,0.00
2025-01-03,DL,319,ATL,LAX,1930,2143,313.00,58.00,58.00,0.00,0.00
2025-01-03,DL,1139,ATL,ORD,2020,2120,120.00,-5.00,3.00,0.00,0.00
2025-01-03,DL,493,ATL,DEN,2021,2145,204.00,-2.00,-4.00,0.00,0.00
2025-01-03,DL,971,ATL,BOS,2050,2323,153.00,12.00,3.00,0.00,0.00
2025-01-03,DL,903,ATL,SEA,2135,0024,349.00,0.00,-18.00,0.00,0.00
2025-01-03,DL,865,ATL,BOS,2225,0057,152.00,-4.00,-12.00,0.00,0.00
2025-01-03,DL,575,ATL,LAX,2225,0033,308.00,31.00,16.00,0.00,0.00
2025-01-03,DL,956,ATL,DEN,2246,0011,205.00,-3.00,-4.00,0.00,0.00
2025-01-03,DL,1199,ATL,ORD,2250,2353,123.00,-2.00,7.00,0.00,0.00
2025-01-03,DL,695,BOS,ATL,0540,0850,190.00,7.00,-14.00,0.00,0.00
2025-01-03,DL,923,BOS,ATL,0655,0957,182.00,-3.00,-18.00,0.00,0.00
2025-01-03,DL,456,BOS,ATL,0834,1140,186.00,-1.00,-22.00,0.00,0.00
2025-01-03,DL,973,BOS,ATL,1016,1320,184.00,-5.00,-35.00,0.00,0.00
2025-01-03,DL,376,BOS,ATL,1208,1510,182.00,-3.00,-21.00,0.00,0.00
2025-01-03,DL,322,BOS,ATL,1400,1702,182.00,-2.00,-21.00,0.00,0.00
2025-01-03,DL,963,BOS,ATL,1630,1937,187.00,-5.00,-37.00,0.00,0.00
2025-01-03,DL,638,BOS,ATL,1735,2047,192.00,-4.00,-36.00,0.00,0.00
2025-01-03,DL,385,BOS,ATL,1835,2145,190.00,-3.00,-23.00,0.00,0.00
2025-01-03,DL,900,BOS,ATL,2038,2341,183.00,-6.00,-33.00,0.00,0.00
2025-01-03,DL,341,DEN,ATL,0600,1056,176.00,-1.00,-11.00,0.00,0.00
2025-01-03,DL,431,DEN,ATL,0705,1159,174.00,-4.00,-2.00,0.00,0.00
2025-01-03,DL,957,DEN,ATL,0805,1305,180.00,-8.00,-11.00,0.00,0.00
2025-01-03,DL,2781,DEN,ATL,1051,1542,171.00,15.00,7.00,0.00,0.00
2025-01-03,DL,995,DEN,ATL,1247,1738,171.00,20.00,4.00,0.00,0.00
2025-01-03,DL,706,DEN,ATL,1418,1916,178.00,-4.00,-28.00,0.00,0.00
2025-01-03,DL,396,DEN,ATL,1620,2114,174.00,-3.00,-27.00,0.00,0.00
2025-01-03,DL,519,DEN,ATL,1820,2313,173.00,0.00,-14.00,0.00,0.00
2025-01-03,DL,390,LAX,ATL,0620,1328,248.00,-4.00,1.00,0.00,0.00
2025-01-03,DL,782,LAX,ATL,0725,1432,247.00,-5.00,-13.00,0.00,0.00
2025-01-03,DL,515,LAX,ATL,0825,1534,249.00,78.00,79.00,0.00,0.00
2025-01-03,DL,327,LAX,ATL,0930,1649,259.00,63.00,40.00,0.00,0.00
2025-01-03,DL,528,LAX,ATL,1050,1814,264.00,-9.00,-37.00,0.00,0.00
2025-01-03,DL,395,LAX,ATL,1215,1927,252.00,2.00,5.00,0.00,0.00
2025-01-03,DL,715,LAX,ATL,1415,2124,249.00,87.00,69.00,0.00,0.00
2025-01-03,DL,471,LAX,ATL,1615,2331,256.00,-8.00,-6.00,0.00,0.00
2025-01-03,DL,783,LAX,ATL,2159,0516,257.00,2.00,-20.00,0.00,0.00
2025-01-03,DL,899,LAX,ATL,2259,0612,253.00,3.00,-20.00,0.00,0.00
2025-01-03,DL,320,LAX,ATL,2359,0721,262.00,78.00,74.00,0.00,0.00
2025-01-03,DL,1264,ORD,ATL,0540,0844,124.00,26.00,30.00,0.00,0.00
2025-01-03,DL,1247,ORD,ATL,0705,1010,125.00,-7.00,7.00,0.00,0.00
2025-01-03,DL,1178,ORD,ATL,1000,1310,130.00,-2.00,-29.00,0.00,0.00
2025-01-03,DL,1147,ORD,ATL,1240,1539,119.00,-2.00,-22.00,0.00,0.00
2025-01-03,DL,1477,ORD,ATL,1455,1753,118.00,24.00,31.00,0.00,0.00
2025-01-03,DL,2738,ORD,ATL,1725,2026,121.00,-3.00,-19.00,0.00,0.00
2025-01-03,DL,2879,ORD,ATL,1959,2305,126.00,-8.00,-39.00,0.00,0.00
2025-01-03,DL,569,SEA,ATL,0615,1402,287.00,38.00,-9.00,0.00,0.00
2025-01-03,DL,562,SEA,ATL,0820,1616,296.00,20.00,-33.00,0.00,0.00
2025-01-03,DL,554,SEA,ATL,1015,1813,298.00,-6.00,-50.00,0.00,0.00
2025-01-03,DL,542,SEA,ATL,1155,1950,295.00,-1.00,-43.00,0.00,0.00
2025-01-03,DL,552,SEA,ATL,1545,2332,287.00,-1.00,-23.00,0.00,0.00
2025-01-03,DL,567,SEA,ATL,2245,0630,285.00,4.00,-12.00,0.00,0.00
2025-01-04,DL,987,ATL,BOS,0705,0946,161.00,-1.00,-20.00,0.00,0.00
2025-01-04,DL,996,ATL,LAX,0725,0940,315.00,153.00,134.00,0.00,0.00
2025-01-04,DL,1178,ATL,ORD,0730,0840,130.00,-3.00,-7.00,0.00,0.00
2025-01-04,DL,444,ATL,SEA,0750,1045,355.00,-4.00,-28.00,0.00,0.00
2025-01-04,DL,346,ATL,DEN,0800,0927,207.00,-3.00,-14.00,0.00,0.00
2025-01-04,DL,849,ATL,BOS,0821,1058,157.00,-8.00,3.00,0.00,0.00
2025-01-04,DL,898,ATL,LAX,0855,1050,295.00,4.00,4.00,0.00,0.00
2025-01-04,DL,774,ATL,SEA,0940,1230,350.00,5.00,-16.00,0.00,0.00
2025-01-04,DL,855,ATL,BOS,1000,1229,149.00,1.00,-2.00,0.00,0.00
2025-01-04,DL,995,ATL,DEN,1010,1142,212.00,2.00,-6.00,0.00,0.00
2025-01-04,DL,501,ATL,LAX,1015,1229,314.00,-5.00,-24.00,0.00,0.00
2025-01-04,DL,1147,ATL,ORD,1023,1130,127.00,41.00,35.00,0.00,0.00
2025-01-04,DL,895,ATL,LAX,1129,1340,311.00,1.00,-20.00,0.00,0.00
2025-01-04,DL,862,ATL,BOS,1130,1404,154.00,0.00,-6.00,0.00,0.00
2025-01-04,DL,629,ATL,SEA,1149,1436,347.00,-2.00,1.00,0.00,0.00
2025-01-04,DL,706,ATL,DEN,1151,1313,202.00,3.00,-4.00,0.00,0.00
2025-01-04,DL,687,ATL,LAX,1240,1434,294.00,0.00,2.00,0.00,0.00
2025-01-04,DL,1477,ATL,ORD,1309,1410,121.00,0.00,3.00,0.00,0.00
2025-01-04,DL,396,ATL,DEN,1402,1522,200.00,-6.00,-8.00,0.00,0.00
2025-01-04,DL,481,ATL,SEA,1430,1713,343.00,36.00,13.00,0.00,0.00
2025-01-04,DL,753,ATL,LAX,1445,1649,304.00,-3.00,-9.00,0.00,0.00
2025-01-04,DL,726,ATL,BOS,1450,1725,155.00,0.00,7.00,0.00,0.00
2025-01-04,DL,2738,ATL,ORD,1510,1612,122.00,0.00,-2.00,0.00,0.00
2025-01-04,DL,350,ATL,BOS,1550,1817,147.00,1.00,9.00,0.00,0.00
2025-01-04,DL,301,ATL,LAX,1550,1745,295.00,-4.00,-11.00,0.00,0.00
2025-01-04,DL,519,ATL,DEN,1613,1734,201.00,0.00,-2.00,0.00,0.00
2025-01-04,DL,821,ATL,BOS,1652,1928,156.00,52.00,48.00,0.00,0.00
2025-01-04,DL,502,ATL,LAX,1655,1850,295.00,-4.00,16.00,0.00,0.00
2025-01-04,DL,2879,ATL,ORD,1748,1855,127.00,39.00,40.00,0.00,0.00
2025-01-04,DL,675,ATL,SEA,1801,2050,349.00,23.00,-14.00,0.00,0.00
2025-01-04,DL,300,ATL,BOS,1811,2048,157.00,-2.00,-6.00,0.00,0.00
2025-01-04,DL,746,ATL,DEN,1812,1938,206.00,-6.00,-10.00,0.00,0.00
2025-01-04,DL,500,ATL,LAX,1815,2014,299.00,-7.00,-6.00,0.00,0.00
2025-01-04,DL,319,ATL,LAX,1930,2143,313.00,0.00,-2.00,0.00,0.00
2025-01-04,DL,1139,ATL,ORD,2020,2120,120.00,9.00,2.00,0.00,0.00
2025-01-04,DL,493,ATL,DEN,2021,2145,204.00,0.00,-6.00,0.00,0.00
2025-01-04,DL,971,ATL,BOS,2050,2323,153.00,4.00,-8.00,0.00,0.00
2025-01-04,DL,903,ATL,SEA,2135,0024,349.00,11.00,-30.00,0.00,0.00
2025-01-04,DL,575,ATL,LAX,2225,0033,308.00,12.00,-7.00,0.00,0.00
2025-01-04,DL,865,ATL,BOS,2235,0108,153.00,0.00,1.00,0.00,0.00
2025-01-04,DL,956,ATL,DEN,2246,0011,205.00,0.00,1.00,0.00,0.00
2025-01-04,DL,1199,ATL,ORD,2250,2353,123.00,-1.00,-14.00,0.00,0.00
2025-01-04,DL,695,BOS,ATL,0540,0850,190.00,0.00,-36.00,0.00,0.00
2025-01-04,DL,923,BOS,ATL,0655,0957,182.00,-6.00,-34.00,0.00,0.00
2025-01-04,DL,973,BOS,ATL,1016,1320,184.00,0.00,-27.00,0.00,0.00
2025-01-04,DL,376,BOS,ATL,1208,1510,182.00,0.00,-29.00,0.00,0.00
2025-01-04,DL,322,BOS,ATL,1400,1702,182.00,-4.00,-24.00,0.00,0.00
2025-01-04,DL,963,BOS,ATL,1630,1937,187.00,38.00,8.00,0.00,0.00
